Town,Box code,Street code,City
AMATOLA VILLE,,4930,
AMATOLE BASIN,,5605,BISHO
AMAWOTANA,4344,,VERULAM
AMBERFIELD GLEN,,0149,CENTURION
AMBERGATE,0780,,POLOKWANE
AMBERVILLE,,0157,CENTURION
AMERSFOORT,2490,2490,-
AMERVILLE,,6960,FRASERBURG
AMSTELHOF,,7646,PAARL
AMSTERDAM,2375,,MPUMALANGA
AMSTERDAMHOEK,,6210,SWARTKOPS
ANCHORAGE,4960,,BUTTERWORTH
ANCHORAGE PARK,,7140,GORDON'S BAY
ANCHORVILLE,,1827,-
ANDALUSIA PARK,8550,8550,JAN KEMPDORP
ANDE,5090,,MOUNT FRERE
ANDERBOLT,,1459,BOKSBURG
ANDERSONVILLE,,6529,GEORGE
ANDERWORD,,1911,VANDERBIJLPARK
ANERLEY,4230,,-
ANGOLA,4148,,UMLAZI
ANNADALE,,0699,POLOKWANE
ANNANDALE,,7580,KUILSRIVIER
ANNANDALE,3080,,DANNHAUSER
ANNANDALE VILLAGE,,7441,MILNERTON
ANNATY BANK,,7945,TOKAI
ANNEX PARK,1402,,GERMISTON
ANNIEVILLE,3080,,DANNHAUSER
ANNLIN,0066,0182,PRETORIA NORTH
ANNLIN EXT,,0182,PRETORIA NORTH
ANNLIN EXT 1,,0182,PRETORIA NORTH
ANNLIN UIT 1,,0182,PRETORIA NORTH
ANNLIN EXT 107,,0182,PRETORIA NORTH
ANNLIN UIT 107,,0182,PRETORIA NORTH
ANNLIN EXT 13,,0182,PRETORIA NORTH
ANNLIN UIT 13,,0182,PRETORIA NORTH
ANNLIN EXT 15,,0182,PRETORIA NORTH
ANNLIN UIT 15,,0182,PRETORIA NORTH
ANNLIN EXT 18,,0182,PRETORIA NORTH
ANNLIN UIT 18,,0182,PRETORIA NORTH
ANNLIN EXT 19,,0182,PRETORIA NORTH
ANNLIN UIT 19,,0182,PRETORIA NORTH
ANNLIN EXT 2,,0182,PRETORIA NORTH
ANNLIN UIT 2,,0182,PRETORIA NORTH
ANNLIN EXT 3,,0182,PRETORIA NORTH
ANNLIN UIT 3,,0182,PRETORIA NORTH
ANNLIN EXT 32,,0182,PRETORIA NORTH
ANNLIN UIT 32,,0182,PRETORIA NORTH
ANNLIN EXT 33,,0182,PRETORIA NORTH
ANNLIN UIT 33,,0182,PRETORIA NORTH
ANNLIN EXT 35,,0182,PRETORIA NORTH
ANNLIN UIT 35,,0182,PRETORIA NORTH
ANNLIN EXT 36,,0182,PRETORIA NORTH
ANNLIN UIT 36,,0182,PRETORIA NORTH
ANNLIN EXT 37,,0182,PRETORIA NORTH
ANNLIN UIT 37,,0182,PRETORIA NORTH
ANNLIN EXT 4,,0182,PRETORIA NORTH
ANNLIN UIT 4,,0182,PRETORIA NORTH
ANNLIN EXT 5,,0182,PRETORIA NORTH
ANNLIN UIT 5,,0182,PRETORIA NORTH
ANNLIN EXT 6,,0182,PRETORIA NORTH
ANNLIN UIT 6,,0182,PRETORIA NORTH
ANNLIN EXT 7,,0182,PRETORIA NORTH
ANNLIN UIT 7,,0182,PRETORIA NORTH
ANNLIN EXT 8,,0182,PRETORIA NORTH
ANNLIN UIT 8,,0182,PRETORIA NORTH
ANSFRERE,1711,1709,FLORIDA
ANTROBUS,,0900,MESSINA
ANZAC,,1541,BRAKPAN
ANZAC EXT 1,,1541,
ANZAC UIT 1,,1541,
ANZAC EXT 2,1540,1541,BRAKPAN
ANZAC UIT 2,1540,1541,BRAKPAN
APEL,0739,,POLOKWANE
APEX CAFE,1519,,DAVEYTON
APEX INDUSTRIAL,1540,,BRAKPAN
APPLE ORCHARDS SIHS,1876,,WALKERVILLE
APPLE ORCHARDS KHW,1876,,WALKERVILLE
APPLE PARK,,1739,KRUGERSDORP
AQUADENE,3900,,RICHARDS BAY
AQUAPARK,0850,0850,TZANEEN
AQUAVILLE,6120,,KIRKWOOD
ARABIEDAM,0464,0464,MARBLE HALL
